helek,time_s,entropy,trit,rauzy_tile,brain_color,splitmix_hue,commit_hash,splitmix_seed
200,666.8,0.8571,-1,a,#b0d347,113.67,9919450c6c1988b2,12864560287436839321
201,670.134,0.8154,0,b,#2cebe9,0.73,0683eb31672b3fe2,16302796898323628806
202,673.468,0.5283,0,a,#10be5e,298.86,87bde21b0e716e25,2697217532252831111
203,676.802,0.3873,0,c,#c9eb66,281.02,aa31a4b529c05f78,8673862692712493482
204,680.136,0.7081,0,a,#921404,301.16,962ed9a2a57db703,267820853207051926
205,683.47,0.7568,0,b,#0ec652,311.54,f07c18b41740bf88,9853664980259863792
206,686.804,0.8687,0,a,#939643,287.71,1822c34ecc576b2e,3344863683259081240
207,690.138,0.7484,0,b,#9e1d27,214.79,1d8403aa77631105,365182410398336029
208,693.472,0.8881,0,a,#0c38c4,46.44,d1e898c49a227514,1474122501152368849
209,696.806,0.6108,0,c,#479382,195.54,025010789f828599,11062391681131237378
210,700.14,0.6777,0,a,#a52983,5.79,9b69961c7d1d07a1,11603275388131109275
211,703.474,0.3855,0,b,#5b4369,228.57,4dde2cccb01983ef,17258666444144303693
212,706.808,1.7465,0,a,#1c9577,139.75,c7931037578dfe92,10592058779347489735
213,710.142,1.0552,0,a,#e98054,61.00,f4ec469c0f6bf841,4753667121480133876
214,713.476,0.9297,0,b,#af4308,154.96,0b2014c11ab13606,447739941436530699
215,716.81,0.4995,0,a,#cff0d0,88.48,50615a3ef4490c7e,9082715861866406224
216,720.144,1.0452,0,c,#70ef7b,53.71,59d415f0ed0b680a,749862454520304729
217,723.478,0.3331,0,a,#71ad0d,123.33,889c11e27ce04a6c,7803296131346177160
218,726.812,0.8138,0,b,#0b5847,141.51,1f66a9fd0897f85b,6627212916546954783
219,730.146,1.8679,0,a,#3033a7,321.03,23b89a6201960aba,13405692173515143203
220,733.48,0.2318,0,c,#303d09,339.93,dd405100d7c57654,6086269473651769565
221,736.814,0.1206,0,a,#e8b389,188.25,7946e21a65107f0b,828398882888238713
222,740.148,0.5624,0,b,#a77c7d,221.73,6253d56be73c621f,2261436927537664866
223,743.482,0.9948,-1,a,#da52ff,70.71,835d51f12e20036a,7638984778939719043
224,746.816,0.7389,0,a,#8862a3,88.03,b82dcdd5f3b4d9ec,17066871222254251448
225,750.15,0.5628,0,b,#353c0e,293.58,0216bbec0e8f32bf,13777231504343766530
226,753.484,0.6297,0,a,#60a844,224.04,f5179c8030ece3e3,16421228359383259125
227,756.818,0.8372,0,c,#7f0c12,135.54,bfb912cb922b344f,5707234537257482687
228,760.152,0.5034,0,a,#062108,13.84,ad5447ac756fb0aa,12299453133541037229
229,763.486,0.5433,0,b,#7c9bef,147.03,970912a50aa2ad4a,5381135296380406167
230,766.82,0.5773,0,a,#77b568,59.28,2f9b67d0cb4ad7b7,13247139068168870703
231,770.154,0.2451,0,b,#6380b9,186.49,70bf7fb4eeb75ebd,13645546156837551984
232,773.488,0.3506,0,a,#561928,161.36,451b5d6b1fa5ce1e,2219893220704066373
233,776.822,0.627,0,c,#02a151,356.33,f8478b554ba12894,10675960261611571192
234,780.156,0.2307,0,a,#0a1e8b,119.79,434050cdcf107b08,611100659127697475
235,783.49,0.4367,0,b,#5a0bb7,141.03,34c0caa67cf2bc31,3584006020668244020
236,786.824,1.0828,0,a,#162186,232.06,d4c83dd3856215f7,17804245028793338068
237,790.158,0.6715,0,a,#faa966,270.78,d94f9bdb184c0b4d,5551614635311583193
238,793.492,0.7559,0,b,#719484,160.68,0950ab0fb8f4e3db,15844776985393582089
239,796.826,1.0336,0,a,#553134,126.92,ce100beb51a214a1,11607080612360032462
240,800.16,1.2113,0,c,#598ce5,320.05,06e3d42869bf057a,8792644305888273158
241,803.494,0.8763,0,a,#131ee5,37.81,2db96be6aba207f4,17584202129280317741
242,806.828,2.2192,-1,b,#61255f,68.47,ad307479ef217c33,3709877505465004205
243,810.162,2.2413,0,a,#a3d9b8,185.52,191045d2a0f5f3f6,17794836623742275609
244,813.496,2.3022,0,b,#748c9d,190.05,6f2ad1a9262cd2bf,13822158750922910319
245,816.83,2.318,0,a,#86ad38,125.36,7e6ab0f088b6e1ca,14619166564691241598
246,820.164,2.1814,1,c,#0dc4e5,56.69,72dede8f9140fdaa,12321075149483728498
247,823.498,0.8291,0,a,#d1601a,209.86,cb40e0b85c6dd91e,2222928136090173643
248,826.832,1.1183,0,b,#596772,126.90,82b524e35368a2d2,15177808403694400898
249,830.166,0.9936,0,a,#7a6516,12.38,0ddaacea671d2895,10747872842875722253
